x,y,d/dx,d/dy
-3.199999E-01,1.240000E+00,-2.628485E+09,1.543860E+10
-3.199999E-01,1.360000E+00,-3.229857E+09,1.938981E+10
-1.999999E-01,-1.280000E+00,-1.400292E+09,-1.181747E+10
-1.999999E-01,-1.160000E+00,-9.135604E+08,-6.734491E+09
-1.999999E-01,-1.040000E+00,-1.769264E+08,-7.223089E+08
-1.999999E-01,-9.200000E-01,9.883045E+08,6.682018E+09
-1.999999E-01,-8.000000E-01,2.933283E+09,1.624519E+10
-1.999999E-01,-6.799999E-01,6.403843E+09,2.926757E+10
-1.999999E-01,-5.599999E-01,1.314441E+10,4.792380E+10
-1.999999E-01,-4.399999E-01,2.775601E+10,7.523552E+10
-1.999999E-01,-3.199999E-01,6.427689E+10,1.106730E+11
-1.999999E-01,-1.999999E-01,1.718837E+11,1.231649E+11
-1.999999E-01,-7.999992E-02,4.929538E+11,2.619366E+10
-1.999999E-01,4.000008E-02,6.366124E+11,-1.062316E+11
-1.999999E-01,1.600001E-01,2.459843E+11,-1.209399E+11
-1.999999E-01,2.800001E-01,8.766853E+10,-8.656020E+10
-1.999999E-01,4.000001E-01,3.623922E+10,-5.591946E+10
-1.999999E-01,5.200001E-01,1.675441E+10,-3.472151E+10
-1.999999E-01,6.400001E-01,8.149385E+09,-2.011571E+10
-1.999999E-01,7.600000E-01,3.864407E+09,-9.579559E+09
-1.999999E-01,8.800001E-01,1.524587E+09,-1.561185E+09
-1.999999E-01,1.000000E+00,1.513958E+08,4.852037E+09
-1.999999E-01,1.120000E+00,-7.023811E+08,1.020592E+10
-1.999999E-01,1.240000E+00,-1.258731E+09,1.483722E+10
-1.999999E-01,1.360000E+00,-1.635730E+09,1.896079E+10
-7.999992E-02,-1.280000E+00,-1.650850E+08,-1.133074E+10
-7.999992E-02,-1.160000E+00,-7.760524E+07,-5.997856E+09
-7.999992E-02,-1.040000E+00,5.757809E+07,4.429221E+08
-7.999992E-02,-9.200000E-01,2.767046E+08,8.626997E+09
-7.999992E-02,-8.000000E-01,6.530285E+08,1.971575E+10
-7.999992E-02,-6.799999E-01,1.349151E+09,3.600814E+10
-7.999992E-02,-5.599999E-01,2.770682E+09,6.253540E+10
-7.999992E-02,-4.399999E-01,6.109158E+09,1.117564E+11
-7.999992E-02,-3.199999E-01,1.579245E+10,2.182797E+11
-7.999992E-02,-1.999999E-01,5.530484E+10,4.442350E+11
-7.999992E-02,-7.999992E-02,3.159417E+11,1.698523E+11
-7.999992E-02,4.000008E-02,5.634591E+11,-4.968596E+11
-7.999992E-02,1.600001E-01,9.334388E+10,-2.792557E+11
-7.999992E-02,2.800001E-01,2.295995E+10,-1.379895E+11
-7.999992E-02,4.000001E-01,8.192618E+09,-7.540428E+10
-7.999992E-02,5.200001E-01,3.564517E+09,-4.332653E+10
-7.999992E-02,6.400001E-01,1.709084E+09,-2.440069E+10
-7.999992E-02,7.600000E-01,8.370081E+08,-1.191936E+10
-7.999992E-02,8.800001E-01,3.793041E+08,-2.934376E+09
-7.999992E-02,1.000000E+00,1.187324E+08,3.998299E+09
-7.999992E-02,1.120000E+00,-3.916025E+07,9.649594E+09
-7.999992E-02,1.240000E+00,-1.398126E+08,1.446023E+10
-7.999992E-02,1.360000E+00,-2.067089E+08,1.869672E+10
4.000008E-02,-1.280000E+00,9.440183E+08,-1.124326E+10
4.000008E-02,-1.160000E+00,5.670785E+08,-5.862673E+09
4.000008E-02,-1.040000E+00,-8.404254E+06,6.620486E+08
4.000008E-02,-9.200000E-01,-9.282231E+08,9.003321E+09
4.000008E-02,-8.000000E-01,-2.483189E+09,2.041187E+10
4.000008E-02,-6.799999E-01,-5.304316E+09,3.742967E+10
4.000008E-02,-5.599999E-01,-1.091566E+10,6.587388E+10
4.000008E-02,-4.399999E-01,-2.355727E+10,1.214397E+11
4.000008E-02,-3.199999E-01,-5.749611E+10,2.577921E+11
4.000008E-02,-1.999999E-01,-1.743026E+11,7.048717E+11
4.000008E-02,-7.999992E-02,-6.960054E+11,4.173697E+11
4.000008E-02,4.000008E-02,-1.069329E+12,-9.669748E+11
4.000008E-02,1.600001E-01,-2.692686E+11,-3.496396E+11
4.000008E-02,2.800001E-01,-8.080573E+10,-1.527568E+11
4.000008E-02,4.000001E-01,-3.115797E+10,-8.003238E+10
4.000008E-02,5.200001E-01,-1.398200E+10,-4.518196E+10
4.000008E-02,6.400001E-01,-6.741901E+09,-2.527275E+10
4.000008E-02,7.600000E-01,-3.234764E+09,-1.237706E+10
4.000008E-02,8.800001E-01,-1.354774E+09,-3.194948E+09
4.000008E-02,1.000000E+00,-2.665122E+08,3.840407E+09
4.000008E-02,1.120000E+00,4.026691E+08,9.548942E+09
4.000008E-02,1.240000E+00,8.347034E+08,1.439333E+10
4.000008E-02,1.360000E+00,1.125137E+09,1.865077E+10
1.600001E-01,-1.280000E+00,2.352556E+09,-1.162020E+10
1.600001E-01,-1.160000E+00,1.670678E+09,-6.438156E+09
1.600001E-01,-1.040000E+00,6.561676E+08,-2.577702E+08
1.600001E-01,-9.200000E-01,-9.145140E+08,7.448355E+09
1.600001E-01,-8.000000E-01,-3.463546E+09,1.759074E+10
1.600001E-01,-6.799999E-01,-7.839242E+09,3.181833E+10
1.600001E-01,-5.599999E-01,-1.586570E+10,5.323227E+10
1.600001E-01,-4.399999E-01,-3.174231E+10,8.750085E+10
1.600001E-01,-3.199999E-01,-6.553010E+10,1.409856E+11
1.600001E-01,-1.999999E-01,-1.387382E+11,1.831690E+11
1.600001E-01,-7.999992E-02,-2.609881E+11,4.404576E+10
1.600001E-01,4.000008E-02,-2.938316E+11,-1.669141E+11
1.600001E-01,1.600001E-01,-1.760752E+11,-1.611768E+11
1.600001E-01,2.800001E-01,-8.413775E+10,-1.031091E+11
1.600001E-01,4.000001E-01,-4.023480E+10,-6.285641E+10
1.600001E-01,5.200001E-01,-1.996006E+10,-3.794187E+10
1.600001E-01,6.400001E-01,-9.971638E+09,-2.176561E+10
1.600001E-01,7.600000E-01,-4.657308E+09,-1.049707E+10
1.600001E-01,8.800001E-01,-1.625637E+09,-2.106686E+09
1.600001E-01,1.000000E+00,2.097289E+08,4.509568E+09
1.600001E-01,1.120000E+00,1.377841E+09,9.980957E+09
1.600001E-01,1.240000E+00,2.153178E+09,1.468376E+10
1.600001E-01,1.360000E+00,2.686461E+09,1.885273E+10
2.800001E-01,-1.280000E+00,3.909886E+09,-1.230208E+10
2.800001E-01,-1.160000E+00,3.009935E+09,-7.452667E+09
2.800001E-01,-1.040000E+00,1.709441E+09,-1.828452E+09
2.800001E-01,-9.200000E-01,-2.287825E+08,4.899323E+09
2.800001E-01,-8.000000E-01,-3.218532E+09,1.321504E+10
2.800001E-01,-6.799999E-01,-8.002718E+09,2.379187E+10
2.800001E-01,-5.599999E-01,-1.593647E+10,3.735566E+10
2.800001E-01,-4.399999E-01,-2.942725E+10,5.371306E+10
2.800001E-01,-3.199999E-01,-5.213217E+10,6.777755E+10
2.800001E-01,-1.999999E-01,-8.640845E+10,6.091912E+10
2.800001E-01,-7.999992E-02,-1.220620E+11,1.120226E+10
2.800001E-01,4.000008E-02,-1.290664E+11,-4.915774E+10
